product_id,product_category,product_name,product_url,discounted_price,original_price,product_images_url,page_no
product_office_chairs_1337,office_chairs,Ergonomic Office Chair Support Breathable Mesh Cushion,https://www.jumia.com.ng/generic-ergonomic-office-chair-support-breathable-mesh-cushion-75732040.html,"₦ 140,000","₦ 160,000",https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/04/023757/1.jpg?2947,4
product_wrist_watch_1175,wrist_watch,Geneva New Gold Plated Wristwatch Female,https://www.jumia.com.ng/geneva-new-gold-plated-wristwatch-female-202785919.html,"₦ 4,999","₦ 6,500","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/91/9587202/1.jpg?3972,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/91/9587202/2.jpg?3972",5
product_headset_736,headset,P47 Wireless Bluetooth 5.0 Stereo OverEar Foldable Headphones,https://www.jumia.com.ng/p47-wireless-bluetooth-5.0-stereo-overear-foldable-headphones-149618690.html,"₦ 4,300","₦ 10,000","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/09/6816941/1.jpg?1668,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/09/6816941/2.jpg?1668,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/09/6816941/3.jpg?1668,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/09/6816941/4.jpg?1668",4
product_office_chairs_1291,office_chairs,Venti Ergonomic Mesh & Fabric Chair,https://www.jumia.com.ng/generic-venti-ergonomic-mesh-fabric-chair-64154304.html,"₦ 90,000","₦ 95,000",https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/345146/1.jpg?8867,3
product_headset_675,headset,Bluetooth Headsets Press Botton Earphone Stereo Earbuds,https://www.jumia.com.ng/generic-bluetooth-headsets-press-botton-earphone-stereo-earbuds-188576232.html,"₦ 4,399","₦ 7,449","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/23/2675881/1.jpg?9299,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/23/2675881/2.jpg?9299,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/23/2675881/3.jpg?9299,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/23/2675881/4.jpg?9299,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/23/2675881/5.jpg?9299,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/23/2675881/6.jpg?9299,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/23/2675881/7.jpg?3493,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/23/2675881/8.jpg?3493",2
product_mouse_212,mouse,Lenovo M202 2.4GHz Wireless Mouse Optical Mouse,https://www.jumia.com.ng/lenovo-m202-2.4ghz-wireless-mouse-optical-mouse-94480921.html,"₦ 4,280","₦ 5,561","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/12/908449/1.jpg?1953,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/12/908449/2.jpg?1953,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/12/908449/3.jpg?1953,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/12/908449/4.jpg?1953,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/12/908449/5.jpg?1953,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/12/908449/6.jpg?1953,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/12/908449/7.jpg?1953,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/12/908449/8.jpg?1953",1
product_backpack_855,backpack,Defacto Woman Bag - Beige,https://www.jumia.com.ng/defacto-woman-bag-beige-176242679.html,"₦ 7,480","₦ 21,600","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/97/6242671/1.jpg?2735,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/97/6242671/2.jpg?2735,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/97/6242671/3.jpg?2735,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/97/6242671/4.jpg?2735,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/97/6242671/5.jpg?2735",2
product_office_chairs_1256,office_chairs,Ergonomic Lumber Support Office Chair,https://www.jumia.com.ng/generic-ergonomic-lumber-support-office-chair-78802060.html,"₦ 105,000","₦ 110,000",https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/06/020887/1.jpg?8012,2
product_office_chairs_1253,office_chairs,Moq Ergonomic  Swivel  Mesh  High Back Chair With (Headrest),https://www.jumia.com.ng/generic-moq-ergonomic-swivel-mesh-high-back-chair-with-headrest-106783917.html,"₦ 70,000","₦ 80,000",https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/71/9387601/1.jpg?1304,2
product_mouse_207,mouse,2.4G Wireless Mouse 4 Keys Wireless Optical Mouse 1600DPI,https://www.jumia.com.ng/generic-2.4g-wireless-mouse-4-keys-wireless-optical-mouse-1600dpi-91846604.html,"₦ 2,470","₦ 4,260","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/664819/1.jpg?5567,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/664819/2.jpg?5567,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/664819/3.jpg?5567,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/664819/4.jpg?5567,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/664819/5.jpg?5567,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/664819/6.jpg?5567,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/664819/7.jpg?5567",1
